BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
554730,MASTERCARD,DEBIT,PREPAID,MERCADOLIBRE SRL,,,AR,ARG,ARGENTINA
554763,MASTERCARD,DEBIT,STANDARD,"RED LINK, S.A.",,,AR,ARG,ARGENTINA
554791,MASTERCARD,CREDIT,GOLD,"BANCO PATAGONIA, S.A.",,http://www.bancopatagonia.com,AR,ARG,ARGENTINA
554825,MASTERCARD,CREDIT,,FIRST DATA CONO SUR S.R.L.,+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
554949,MASTERCARD,CREDIT,PLATINUM,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
554990,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
554991,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
554992,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
554993,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
554994,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
554995,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
554996,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
554997,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
554998,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
554999,MASTERCARD,CREDIT,PLATINUM,"BANCO GGAL, S.A.",,,AR,ARG,ARGENTINA
555031,MASTERCARD,CREDIT,CORPORATE PURCHASING,CITIBANK N.A.,,https://www.citibank.com.vn,AR,ARG,ARGENTINA
555264,MASTERCARD,DEBIT,PREPAID,"BANCO DEL SOL, S.A.",,,AR,ARG,ARGENTINA
555307,MASTERCARD,CREDIT,PLATINUM,"BANCO DEL SOL, S.A.",,,AR,ARG,ARGENTINA
555408,MASTERCARD,CREDIT,BUSINESS,BANCO DE LA PAMPA,+548102222257,http://www.blp.com.ar,AR,ARG,ARGENTINA
555597,MASTERCARD,CREDIT,CORPORATE,"BANCO DEL SOL, S.A.",,,AR,ARG,ARGENTINA
555705,MASTERCARD,DEBIT,STANDARD,GLOBAL PROCESSING SA,,,AR,ARG,ARGENTINA
555723,MASTERCARD,CREDIT,CORPORATE,BANCO MUNICIPAL DE ROSARIO,+543414256162 / +543414205600,http://www.bmros.com.ar,AR,ARG,ARGENTINA
555755,MASTERCARD,DEBIT,PREPAID,"RED LINK, S.A.",,,AR,ARG,ARGENTINA
555762,MASTERCARD,DEBIT,PREPAID,MERCADOLIBRE SRL,,,AR,ARG,ARGENTINA
555840,MASTERCARD,DEBIT,PREPAID,GLOBAL PROCESSING SA,,,AR,ARG,ARGENTINA
555848,MASTERCARD,DEBIT,PREPAID,SUPER PAGAMENTOS E ADMINISTRACAO DE MEIOS ELETRONICOS LTDA,,,AR,ARG,ARGENTINA
555865,MASTERCARD,CREDIT,BUSINESS,"BANCO PROVINCIA NEUQUEN, S.A.",,,AR,ARG,ARGENTINA
555872,MASTERCARD,CREDIT,CORPORATE,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
555873,MASTERCARD,CREDIT,STANDARD,"TRANSATLANTICA COMPANIA FINANCIERA, S.A.",,,AR,ARG,ARGENTINA
555889,MASTERCARD,DEBIT,STANDARD,"BANCO PROVINCIA NEUQUEN, S.A.",,,AR,ARG,ARGENTINA
555902,MASTERCARD,DEBIT,PREPAID,GLOBAL PROCESSING SA,,,AR,ARG,ARGENTINA
555938,MASTERCARD,CREDIT,GOLD,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA), S.A.",,,AR,ARG,ARGENTINA
555969,MASTERCARD,CREDIT,STANDARD,GLOBAL PROCESSING SA,,,AR,ARG,ARGENTINA
556182,MASTERCARD,CREDIT,CORPORATE FLEET,BANCO CIUDAD DE BUENOS AIRES,,,AR,ARG,ARGENTINA
556525,MASTERCARD,CREDIT,BUSINESS,EDENRED ARGENTINA SA,,,AR,ARG,ARGENTINA
556544,MASTERCARD,DEBIT,PREPAID,"BANCO SUPERVIELLE, S.A.",,http://www.supervielle.com.ar,AR,ARG,ARGENTINA
556838,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
556899,MASTERCARD,CREDIT,GOLD,NU ARGENTINA S A,,,AR,ARG,ARGENTINA
557035,MASTERCARD,CREDIT,PLATINUM,"BANCO PROVINCIA NEUQUEN, S.A.",,,AR,ARG,ARGENTINA
557039,MASTERCARD,CREDIT,STANDARD,"BANCO COLUMBIA, S.A.",,http://www.bancocolumbia.com.ar,AR,ARG,ARGENTINA
557069,MASTERCARD,DEBIT,PREPAID,"TRANSATLANTICA COMPANIA FINANCIERA, S.A.",,,AR,ARG,ARGENTINA
557081,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
